"","YearDecimal","Latitude30value","Latitude30uncertainty","Latitude33value","Latitude33uncertainty","Latitude37value","Latitude37uncertainty","Latitude41value","Latitude41uncertainty","Latitude44value","Latitude44uncertainty","Latitude49value","Latitude49uncertainty","Latitude53value","Latitude53uncertainty","Latitude58value","Latitude58uncertainty","Latitude64value","Latitude64uncertainty","Latitude72value","Latitude72uncertainty","Latitude90value","Latitude90uncertainty"
"525",1989.916667,354.877,0.318,355.143,0.353,355.388,0.38,355.662,0.399,355.996,0.408,356.378,0.392,356.771,0.34,357.135,0.266,357.447,0.204,357.692,0.185,357.873,0.2
"526",1989.9375,355.259,0.311,355.514,0.348,355.745,0.379,356.011,0.407,356.355,0.425,356.771,0.415,357.223,0.366,357.671,0.296,358.075,0.245,358.407,0.24,358.66,0.266
"527",1989.958333,355.685,0.306,355.925,0.345,356.139,0.385,356.4,0.43,356.754,0.465,357.196,0.463,357.687,0.414,358.18,0.339,358.629,0.284,359.002,0.281,359.286,0.312
"528",1989.979167,355.892,0.301,356.163,0.344,356.43,0.398,356.754,0.46,357.168,0.509,357.656,0.513,358.171,0.46,358.666,0.375,359.105,0.309,359.461,0.298,359.728,0.328
"529",1990,356.005,0.315,356.339,0.361,356.701,0.424,357.128,0.502,357.62,0.564,358.13,0.573,358.599,0.518,358.995,0.422,359.32,0.336,359.589,0.304,359.819,0.324
"530",1990.020833,356.089,0.304,356.471,0.359,356.913,0.442,357.432,0.542,358.001,0.618,358.551,0.633,359.013,0.571,359.36,0.457,359.607,0.339,359.791,0.27,359.943,0.269
"531",1990.041667,356.159,0.289,356.581,0.358,357.094,0.463,357.696,0.584,358.334,0.676,358.917,0.694,359.367,0.627,359.661,0.494,359.827,0.345,359.921,0.235,359.99,0.204
"532",1990.0625,356.248,0.274,356.693,0.357,357.255,0.482,357.916,0.621,358.604,0.722,359.209,0.744,359.648,0.67,359.899,0.524,360.002,0.354,360.023,0.214,360.025,0.159
"533",1990.083333,356.369,0.263,356.817,0.356,357.399,0.492,358.087,0.638,358.799,0.742,359.416,0.764,359.852,0.686,360.084,0.534,360.155,0.356,360.14,0.208,360.107,0.148
"534",1990.104167,356.521,0.261,356.954,0.357,357.526,0.49,358.21,0.631,358.92,0.73,359.541,0.747,359.983,0.668,360.224,0.518,360.304,0.345,360.293,0.208,360.262,0.163
